STATIONCODE,LOCATION,STATE,MONTH,Temp,D.O._(mg/l),PH,CONDUCTIVITY_(µmhos/cm),TURBIDITY_(FNU),COLOR_(mgPt/L),ALKALINITY_(mmol/L),B.O.D._(mg/l),NITRATE,FECAL_COLIFORM_(MPN/100ml),Int_(cfu/100ml),CIPerf_(cfu/100_ml),TERMOTOL_COLIFORM_(cfu/100_ml),TOTAL_COLIFORM_(MPN/100ml)Mean,year
1393,MARIDASVANNET,OSLO,JAN,30.6,6.7,7.5,203,0.96,5,4.4,0,0.1,11,0.12,<1,<1,27,2015
1399,MARIDASVANNET,OSLO,JAN,29.8,5.7,7.2,189,0.94,9,4.4,2,0.2,4953,0.63,<1,<1,8391,2015
1475,MARIDASVANNET,OSLO,JAN,29.5,6.3,6.9,179,0.93,5,5.7,1.7,0.1,3243,0.65,<1,<1,5330,2015
3181,MARIDASVANNET,OSLO,JAN,29.7,5.8,6.9,64,0.93,5,6,3.8,0.5,5382,0.66,<1,<1,8443,2015
3182,MARIDASVANNET,OSLO,FEB,29.5,5.8,7.3,83,0.95,8,6.3,1.9,0.4,3428,0.67,<1,<1,5500,2015
1400,MARIDASVANNET,OSLO,FEB,30,5.5,7.4,81,1.08,12,4.2,1.5,0.1,2853,0.63,<1,<1,4049,2015
1476,MARIDASVANNET,OSLO,FEB,29.2,6.1,6.7,308,0.9,20,7.1,1.4,0.3,3355,0.63,<1,<1,5672,2015
3185,MARIDASVANNET,OSLO,MAR,29.6,6.4,6.7,414,1,20,8.1,1,0.2,6073,0.64,<1,<1,9423,2015
3186,MARIDASVANNET,OSLO,MAR,30,6.4,7.6,305,0.92,20,7.5,2.2,0.1,3478,0.7,<1,<1,4990,2015
3187,MARIDASVANNET,OSLO,APR,30.1,6.3,7.6,77,0.91,7,6.5,2.3,0.1,2606,0.59,<1,<1,4301,2015
1543,,OSLO,APR,27.8,7.1,7.1,176,1,6,6.6,1.2,0.1,4573,0.59,<1,<1,7817,2015
1548,MARIDASVANNET,OSLO,APR,27.9,6.7,6.4,93,0.98,8,6.3,1.4,0.1,2147,0.65,<1,<1,3433,2015
2276,,OSLO,MAY,29.3,7.4,6.8,121,1.02,19,5.4,1.7,0.4,11633,,<1,<1,18125,2015
2275,MARIDASVANNET,OSLO,JUN,29.2,6.9,7,620,0.96,12,2.2,1.1,0.1,3500,0.68,<1,<1,6300,2015
3189,MARIDASVANNET,OSLO,JUN,30,6,7.5,72,0.94,11,5.2,1.6,0.2,4995,0.17,<1,<1,9517,2015
1546,MARIDASVANNET,,JUL,29,7.3,7,247,1.06,13,5.6,1.5,0.2,1095,0.68,<1,<1,2453,2015
2270,,OSLO,JUL,29.1,7.3,7,188,0.86,23,5.5,1,0.1,1286,0.67,<1,<1,3048,2015
2272,MARIDASVANNET,OSLO,JUL,28.7,7,6.9,224,0.95,17,3.6,1.2,0.3,3896,0.64,<1,<1,6742,2015
1545,MARIDASVANNET,OSLO,AUG,28.7,7.3,6.7,144,0.85,14,5.7,1.5,0.1,1940,0.6,<1,<1,3052,2015
2274,,OSLO,AUG,29.5,5.3,6.8,319,0.93,15,,1.8,0.3,6458,0.6,<1,<1,10250,2015
2271,,OSLO,SEP,29,6.3,6.4,79,0.85,8,,1.6,1.4,7592,0.62,<1,<1,12842,2015
2273,MARIDASVANNET,OSLO,SEP,29.4,5.4,7.6,39,0.93,5,,1.4,0.1,3176,0.64,<1,<1,6367,2015
3183,MARIDASVANNET,OSLO,SEP,28.3,2.2,6.5,322,1.18,2,3.6,4.7,1.2,11210,0.61,<1,<1,14920,2015
3184,MARIDASVANNET,OSLO,OCT,30.1,5.2,7.1,192,0.99,3,6.9,2.6,0.3,5073,0.61,<1,<1,8925,2015
3190,MARIDASVANNET,,OCT,30.3,5.6,7.5,282,0.83,4,8.8,1.8,0.1,3205,0.65,<1,<1,5082,2015
3191,MARIDASVANNET,OSLO,NOV,30.5,5.5,7.4,275,0.91,6,8.7,1.5,0.1,4698,0.65,<1,<1,8625,2015
1547,MARIDASVANNET,OSLO,DEC,29.1,7.3,6.7,55,1.17,11,5.8,1.4,0.1,2638,0.62,<1,<1,4003,2015
3188,SKJAERSJOELVA,OSLO,JAN,30.1,6.5,7.5,415,0.93,10,4.9,2,0.1,864,0.72,<1,<1,1538,2015
1544,SKJAERSJOELVA,OSLO,FEB,29.2,7.2,6.3,100,0.96,19,5.3,1.5,0.1,7942,0.71,<1,<1,13575,2015
2651,SKJAERSJOELVA,OSLO,FEB,25.1,6.6,7.8,95,0.96,19,5,4.9,0.2,16,0.77,<1,<1,36,2015
1461,SKJAERSJOELVA,OSLO,FEB,29.6,6.9,7.9,99,1.03,18,5,5,0.4,15,0.11,<1,<1,34,2015
2653,SKJAERSJOELVA,,FEB,27.4,6.8,7.7,85,0.87,18,5.5,5.2,0.3,11,0.77,<1,<1,23,2015
